Model,TotalMs,ParseMs,NodeBuildMs,PrimitiveBuildMs,MaterialSetupMs,AnimationLoadMs,NodeCount,MeshCount,PrimitiveCount,VertexCount,IndexCount
sponza_palace.glb,1426.57,1205.93,0.6228,218.259,85.1412,0.0005,211,103,103,192489,786798
porsche_911_gt3.glb,2337.14,2142.53,12.8867,175.608,14.8921,0.0003,4901,1630,1630,184649,707163
sponza_palace.glb,1233.05,1027.85,0.6895,203.05,76.3451,0.0004,211,103,103,192489,786798
porsche_911_gt3.glb,2386.17,2184.87,13.3895,181.324,15.4469,0.0006,4901,1630,1630,184649,707163
sponza_palace.glb,1261.98,1061.41,0.6422,198.265,74.3826,0.0003,211,103,103,192489,786798
porsche_911_gt3.glb,3330.69,3072.22,20.7373,230.215,16.6739,0.007,4901,1630,1630,184649,707163
sponza_palace.glb,1764.46,1522.54,1.1765,239.424,77.1273,0.0003,211,103,103,192489,786798
porsche_911_gt3.glb,2386.11,2182.75,13.0907,183.934,14.6479,0.0004,4901,1630,1630,184649,707163
sponza_palace.glb,1262.16,1052.62,0.964,206.654,82.885,0.0003,211,103,103,192489,786798
porsche_911_gt3.glb,3175.38,2917.09,18.2195,227.913,16.8299,0.0068,4901,1630,1630,184649,707163
sponza_palace.glb,1685.14,1449.81,0.9152,233.45,75.4127,0.0004,211,103,103,192489,786798
porsche_911_gt3.glb,2329.06,2127.41,18.8907,174.499,14.7774,0.0004,4901,1630,1630,184649,707163
sponza_palace.glb,1284.07,1074.96,0.6064,207.055,78.5763,0.0003,211,103,103,192489,786798
porsche_911_gt3.glb,2895.17,2680.16,13.8174,194.763,17.7732,0.0006,4901,1630,1630,184649,707163
porsche_911_gt3.glb,2410.66,2209.8,14.0596,180.437,19.2953,0.0004,4901,1630,1630,184649,707163
sponza_palace.glb,1254.12,1038.21,0.6398,213.645,86.7569,0.0004,211,103,103,192489,786798
porsche_911_gt3.glb,2522.48,2307.82,14.9826,193.625,18.3562,0.0008,4901,1630,1630,184649,707163
porsche_911_gt3.glb,2409.69,2193.3,14.8473,194.746,18.7282,0.001,4901,1630,1630,184649,707163
sponza_palace.glb,1372.74,1157.99,0.7175,212.094,83.356,0.0004,211,103,103,192489,786798
porsche_911_gt3.glb,2527.65,2323.72,13.3411,184.456,16.0487,0.0005,4901,1630,1630,184649,707163
porsche_911_gt3.glb,2465.55,2242.03,13.5882,203.369,16.6768,0.0004,4901,1630,1630,184649,707163
sponza_palace.glb,1225.95,1024.02,0.6747,199.744,77.1683,0.0003,211,103,103,192489,786798
porsche_911_gt3.glb,2777.6,2567.32,14.5321,189.387,17.0842,0.0007,4901,1630,1630,184649,707163
sponza_palace.glb,1431.72,1198.91,0.683,230.604,90.0604,0.0004,211,103,103,192489,786798
porsche_911_gt3.glb,2486.07,2282.77,13.7766,183.44,16.0968,0.0004,4901,1630,1630,184649,707163
sponza_palace.glb,1380.05,1143.48,0.6362,234.395,86.2566,0.0003,211,103,103,192489,786798
porsche_911_gt3.glb,2498.75,2281.7,13.4165,196.432,16.2612,0.0007,4901,1630,1630,184649,707163
sponza_palace.glb,1217.18,1017.38,0.6403,197.595,76.1176,0.0006,211,103,103,192489,786798
porsche_911_gt3.glb,3119,2857.77,19.7571,232.92,19.8971,0.0011,4901,1630,1630,184649,707163
sponza_palace.glb,1531.59,1271.8,0.6748,257.191,96.848,0.0006,211,103,103,192489,786798
porsche_911_gt3.glb,2641.14,2383.37,16.1216,233.103,19.6195,0.0009,4901,1630,1630,184649,707163
sponza_palace.glb,1523.15,1277.17,0.8149,243.162,93.6721,0.0004,211,103,103,192489,786798
gundam_unicorn.glb,504.183,332.133,0.3261,169.918,29.5748,0.0004,98,95,95,218194,1131972
porsche_911_gt3.glb,2627.85,2392.13,14.5279,213.132,20.1206,0.0009,4901,1630,1630,184649,707163
sponza_palace.glb,1340.53,1122.97,0.5133,215.319,85.6815,0.0003,211,103,103,192489,786798
porsche_911_gt3.glb,214.891,167.536,1.1682,44.4658,12.5205,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,538.082,426.542,0.0648,110.176,85.2897,0.0003,211,103,103,192489,786798
gundam_unicorn.glb,109.32,62.8406,0.0273,45.3336,21.4753,0.0001,98,95,95,218194,1131972
plane.glb,6.846,6.0879,0.0024,0.0415,0.0012,0.0002,1,1,1,4,6
sphere.glb,6.6072,5.7459,0.0025,0.1716,0.0011,0,1,1,1,802,4032
rifle.glb,6632.32,5867.76,0.012,763.73,756.494,0.0002,1,1,7,39537,112707
porsche_911_gt3.glb,378.825,314.001,1.3706,61.7853,17.8524,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,849.393,741.121,0.0575,106.483,82.3152,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,222.5,166.469,1.2748,52.7384,14.9477,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,451.334,355.228,0.0745,94.7563,73.6744,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,295.927,217.178,1.6957,75.1227,18.7568,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,491.54,392.452,0.0282,97.8469,74.7955,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,2492.7,2281.03,15.1718,189.761,18.0437,0.0008,4901,1630,1630,184649,707163
sponza_palace.glb,1260.3,1049.36,0.6594,208.404,83.9495,0.0006,211,103,103,192489,786798
porsche_911_gt3.glb,209.136,157.853,0.8954,48.6646,14.2262,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,443.548,348.282,0.0517,94.0701,73.2645,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,2336.96,2132.29,14.6008,184.35,16.1091,0.0004,4901,1630,1630,184649,707163
porsche_911_gt3.glb,223.498,165.553,1.2307,55.0017,15.1344,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,473.951,361.152,0.0585,111.547,87.5686,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,4598.06,4237.72,24.3372,325.189,31.7452,0.0028,4901,1630,1630,184649,707163
porsche_911_gt3.glb,285.453,216.771,1.5504,65.1675,17.7348,0.0003,4901,1630,1630,184649,707163
sponza_palace.glb,566.678,440.853,0.0905,124.136,95.4568,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,2898.91,2658.58,20.3245,211.497,19.8517,0.0009,4901,1630,1630,184649,707163
porsche_911_gt3.glb,315.675,245.065,1.0317,67.0814,17.4343,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,542.007,423.595,0.0719,116.482,89.3482,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,2502.39,2302.68,13.7021,180.299,15.2129,0.0004,4901,1630,1630,184649,707163
porsche_911_gt3.glb,2375.43,2161.49,14.9121,189.615,16.3497,0.0005,4901,1630,1630,184649,707163
porsche_911_gt3.glb,220.557,170.115,1.1648,46.9423,12.8219,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,461.563,359.194,0.048,101.209,78.9066,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,2574.67,2355.08,15.3023,197.828,18.5201,0.0009,4901,1630,1630,184649,707163
porsche_911_gt3.glb,245.816,187.654,1.2543,54.9677,16.1527,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,454.956,351.624,0.0468,102.093,79.6829,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,2371.2,2165.24,18.418,177.422,15.3049,0.0004,4901,1630,1630,184649,707163
sponza_palace.glb,1241.16,1030.11,0.6461,208.65,80.5257,0.0004,211,103,103,192489,786798
porsche_911_gt3.glb,235.752,172.397,1.5254,59.7989,15.3981,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,481.658,375.036,0.0528,105.048,80.4789,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,223.516,165.934,1.1703,54.7465,13.1698,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,482.646,379.263,0.0598,102.06,77.9661,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,232.835,175.014,1.4846,54.6441,15.2439,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,485.682,377.922,0.0557,106.371,81.4536,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,2402.81,2192.75,12.9026,190.563,15.7194,0.0005,4901,1630,1630,184649,707163
sponza_palace.glb,1241.65,1044.2,0.634,195.291,74.1808,0.0003,211,103,103,192489,786798
porsche_911_gt3.glb,220.957,168.343,1.2089,49.4043,13.2158,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,488.087,378.193,0.0685,108.506,83.8034,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,230.49,171.493,1.4145,55.5765,14.3624,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,468.159,366.653,0.0538,100.294,76.812,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,2403.45,2205.55,14.0578,174.702,14.7445,0.0004,4901,1630,1630,184649,707163
porsche_911_gt3.glb,236.572,176.722,1.38,56.4655,16.539,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,469.317,365.999,0.0525,101.977,79.7247,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,4584.95,4175.72,23.6928,369.751,84.8773,0.0019,4901,1630,1630,184649,707163
porsche_911_gt3.glb,2764.9,2534.25,15.3201,208.376,25.4286,0.0007,4901,1630,1630,184649,707163
sponza_palace.glb,1920.79,1656.24,1.1421,261.18,116.94,0.0005,211,103,103,192489,786798
porsche_911_gt3.glb,3233.74,2962.75,18.0287,247.1,26.9066,0.0005,4901,1630,1630,184649,707163
porsche_911_gt3.glb,3133.22,2853.2,17.1024,255.412,25.9166,0.0009,4901,1630,1630,184649,707163
sponza_palace.glb,1776.29,1480.98,1.2541,291.303,114.735,0.0009,211,103,103,192489,786798
porsche_911_gt3.glb,3320.77,3017.41,17.5633,277.132,23.1917,0.0012,4901,1630,1630,184649,707163
porsche_911_gt3.glb,3089.52,2823.86,16.5663,242.326,25.6509,0.001,4901,1630,1630,184649,707163
sponza_palace.glb,1620.48,1319.24,1.4133,296.501,118.145,0.001,211,103,103,192489,786798
porsche_911_gt3.glb,3867.7,3503.11,20.063,334.333,56.2686,0.0014,4901,1630,1630,184649,707163
porsche_911_gt3.glb,297.295,243.796,1.2663,50.4935,14.2171,0.0044,4901,1630,1630,184649,707163
sponza_palace.glb,688.284,589.408,0.0881,97.5296,73.2879,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,2423.54,2214.01,18.6444,185.352,16.2118,0.0004,4901,1630,1630,184649,707163
porsche_911_gt3.glb,229.626,169.595,1.2735,56.282,14.8832,0.004,4901,1630,1630,184649,707163
sponza_palace.glb,491.934,390.849,0.0884,99.8554,76.5689,0.0002,211,103,103,192489,786798
cornell_box.glb,10.8128,9.745,0.0047,0.1047,0.005,0.0003,10,8,8,64,96
gundam_unicorn.glb,202.011,151.434,0.0304,49.5593,23.9793,0.0003,98,95,95,218194,1131972
porsche_911_gt3.glb,248.119,180.87,1.9012,63.2664,18.6436,0.0032,4901,1630,1630,184649,707163
sponza_palace.glb,505.11,398.559,0.0558,105.383,81.0857,0.0001,211,103,103,192489,786798
copied_city.glb,298.907,203.922,0.0073,94.0649,0.03,0.0001,1,1,25,951128,1466070
porsche_911_gt3.glb,2479.19,2236.87,18.7167,216.277,19.1361,0.0008,4901,1630,1630,184649,707163
porsche_911_gt3.glb,401.748,318.474,1.679,79.0628,21.2305,0.0094,4901,1630,1630,184649,707163
sponza_palace.glb,584.782,457.513,0.0506,126.043,94.7413,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,2595.09,2346.54,19.7871,222.816,23.5941,0.0013,4901,1630,1630,184649,707163
porsche_911_gt3.glb,285.346,224.387,1.1447,57.9584,15.2287,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,506.647,396.195,0.0694,109.056,84.3389,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,2422.98,2216.83,16.9098,184.116,15.9058,0.0004,4901,1630,1630,184649,707163
porsche_911_gt3.glb,2559.2,2345.87,18.6319,189.343,17.7413,0.0004,4901,1630,1630,184649,707163
porsche_911_gt3.glb,231.496,168.035,0.9881,60.048,17.114,0.0091,4901,1630,1630,184649,707163
sponza_palace.glb,640.639,543.374,0.0291,96.0622,73.3747,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,2774.56,2549.85,14.9063,204.414,16.404,0.0005,4901,1630,1630,184649,707163
porsche_911_gt3.glb,246.128,191.511,1.1625,51.1463,14.5924,0.0092,4901,1630,1630,184649,707163
sponza_palace.glb,493.733,394.124,0.064,98.4409,75.7787,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,2503.86,2301.22,15.2116,182.237,15.5244,0.0003,4901,1630,1630,184649,707163
porsche_911_gt3.glb,2663.94,2374.26,15.663,265.632,20.072,0.0011,4901,1630,1630,184649,707163
porsche_911_gt3.glb,235.171,184.297,1.1924,48.0738,13.1632,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,481.812,378.994,0.0537,101.579,78.7378,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,2622.48,2418,13.8377,185.335,16.6644,0.0004,4901,1630,1630,184649,707163
porsche_911_gt3.glb,263.022,202.921,0.9586,56.7979,15.0355,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,467.063,368.945,0.0468,96.7866,75.1253,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,216.361,167.694,1.2099,45.6696,12.5332,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,447.147,351.311,0.0637,94.6361,73.3556,0.0001,211,103,103,192489,786798
gundam_unicorn.glb,256.654,209.516,0.03,46.043,22.1114,0.0002,98,95,95,218194,1131972
porsche_911_gt3.glb,2934.57,2689.15,14.5155,224.929,18.681,0.0006,4901,1630,1630,184649,707163
porsche_911_gt3.glb,2788.17,2564.81,13.6575,203.494,17.1814,0.0004,4901,1630,1630,184649,707163
porsche_911_gt3.glb,267.371,201.981,1.765,61.5211,14.8856,0.009,4901,1630,1630,184649,707163
sponza_palace.glb,493.07,387.127,0.0582,104.595,80.482,0.0002,211,103,103,192489,786798
dinosaur_1.glb,241.28,207.005,0.0203,32.4273,29.735,0.6727,72,1,1,11351,61371
robot.glb,559.28,464.339,0.1426,93.3326,75.8875,0.0078,541,188,188,114048,364101
halo_reach_rifle.glb,2074.83,1831.17,0.0049,242.481,240.617,0.0002,1,1,6,14970,47163
porsche_911_gt3.glb,3213.18,2944.19,20.247,239.952,21.0394,0.0011,4901,1630,1630,184649,707163
porsche_911_gt3.glb,288.943,221.128,1.4011,63.7701,15.6218,0.0086,4901,1630,1630,184649,707163
sponza_palace.glb,673.705,565.756,0.0713,106.538,79.4233,0.0002,211,103,103,192489,786798
dinosaur_1.glb,202.966,178.988,0.0408,22.2153,20.1343,0.2568,72,1,1,11351,61371
porsche_911_gt3.glb,267.94,203.849,1.2733,60.5314,15.4946,0.0049,4901,1630,1630,184649,707163
sponza_palace.glb,517.486,407.887,0.0572,108.217,82.9411,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,307.705,245.779,1.5937,58.5392,16.1695,0.0047,4901,1630,1630,184649,707163
sponza_palace.glb,513.745,408.927,0.0435,103.613,79.4767,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,261.13,208.335,0.9907,50.0991,14.9227,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,472.077,364.353,0.0887,106.467,82.5576,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,241.712,177.629,1.2411,61.113,16.2212,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,510.193,391.897,0.0498,117.171,90.9769,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,248.986,187.174,1.423,58.1862,16.7335,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,508.053,393.119,0.0579,113.693,89.6661,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,2599.22,2379.34,14.1029,200.514,20.723,0.0004,4901,1630,1630,184649,707163
porsche_911_gt3.glb,242.522,180.789,1.6414,58.0157,16.1496,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,539.111,409.563,0.0804,127.862,95.5023,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,2508.57,2284.53,14.3633,204.184,15.1394,0.0007,4901,1630,1630,184649,707163
porsche_911_gt3.glb,2717.04,2479.44,16.4543,213.866,17.1693,0.0015,4901,1630,1630,184649,707163
porsche_911_gt3.glb,233.353,172.686,1.1116,57.5819,17.8463,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,521.253,406.941,0.077,112.505,86.7909,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,238.982,180.036,1.1381,56.3237,14.9797,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,541.217,401.634,0.0763,137.227,104.061,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,3689.06,3446.05,16.0902,219.826,19.7272,0.0008,4901,1630,1630,184649,707163
porsche_911_gt3.glb,289.514,224.309,1.4997,61.6288,19.1524,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,565.302,422.622,0.0888,141.24,109.597,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,225.027,168.184,1.3503,53.4477,17.0959,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,523.165,408.258,0.0546,113.636,88.5593,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,267.409,207.365,1.2747,56.4015,17.2229,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,499.719,389.003,0.0671,109.184,85.0129,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,2641.43,2380.69,15.3434,239.47,23.34,0.0004,4901,1630,1630,184649,707163
porsche_911_gt3.glb,366.391,277.398,1.5736,84.7836,20.3192,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,622.419,468.333,0.0953,152.561,114.686,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,3541.84,3286.28,30.6715,218.198,24.0644,0.0007,4901,1630,1630,184649,707163
porsche_911_gt3.glb,212.789,159.748,0.8984,50.2742,14.9195,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,506.879,379.443,0.0565,126.322,98.6316,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,2595.77,2382.67,15.3087,190.656,15.5328,0.0011,4901,1630,1630,184649,707163
porsche_911_gt3.glb,309.076,240.76,1.2045,64.7806,18.1582,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,583.277,454.015,0.0823,128.037,98.4815,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,2742.88,2497.98,16.3112,222.883,24.6973,0.0007,4901,1630,1630,184649,707163
porsche_911_gt3.glb,254.896,196.373,1.3459,54.9947,16.2521,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,528.953,419.564,0.0694,108.239,84.8624,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,2510.68,2293.86,14.2327,197.413,22.2217,0.0004,4901,1630,1630,184649,707163
porsche_911_gt3.glb,2667.88,2443.81,14.3469,203.568,23.9072,0.0015,4901,1630,1630,184649,707163
porsche_911_gt3.glb,2531.2,2315.78,14.0237,196.073,21.9792,0.0004,4901,1630,1630,184649,707163
porsche_911_gt3.glb,251.262,186.079,1.4011,61.2469,15.7911,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,492.889,389.352,0.0637,102.399,79.5317,0.0001,211,103,103,192489,786798
gundam_unicorn.glb,191.677,136.375,0.0587,54.2241,27.8979,0.0002,98,95,95,218194,1131972
porsche_911_gt3.glb,231.024,173.406,1.2126,54.4932,17.1805,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,511.109,401.458,0.0885,108.338,84.028,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,272.395,209.536,1.5884,59.2048,17.0696,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,487.428,375.155,0.055,111.002,86.9004,0.0002,211,103,103,192489,786798
copied_city.glb,302.006,205.178,0.008,95.8553,0.0357,0.0001,1,1,25,951128,1466070
porsche_911_gt3.glb,4541.4,4193.16,23.8733,315.877,33.7707,0.001,4901,1630,1630,184649,707163
porsche_911_gt3.glb,3698.06,3396.22,24.329,269.444,26.5851,0.0004,4901,1630,1630,184649,707163
sponza_palace.glb,1876.76,1575.37,0.8958,299.447,123.215,0.0004,211,103,103,192489,786798
porsche_911_gt3.glb,5082.07,4762.46,22.7562,286.757,26.1378,0.0007,4901,1630,1630,184649,707163
sponza_palace.glb,1957.57,1670.49,0.8754,285.266,112.822,0.0003,211,103,103,192489,786798
porsche_911_gt3.glb,267.235,209.26,0.9659,55.1054,16.8391,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,476.295,365.615,0.0586,109.459,85.6929,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,3518.57,3239.93,19.7415,251.133,24.4799,0.0004,4901,1630,1630,184649,707163
sponza_palace.glb,1804.03,1517.01,0.9026,285.005,120.426,0.0003,211,103,103,192489,786798
porsche_911_gt3.glb,234.82,172.104,1.7091,58.8496,18.1324,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,543.572,406.539,0.2292,135.07,103.098,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,340.169,262.758,1.2703,73.7927,20.3691,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,539.771,413.603,0.0288,125.1,95.3871,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,3677.95,3351.7,24.468,290.371,30.6025,0.001,4901,1630,1630,184649,707163
sponza_palace.glb,1926.68,1614.24,1.3779,310.062,123.238,0.0004,211,103,103,192489,786798
porsche_911_gt3.glb,302.881,228.812,1.5737,70.41,19.0594,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,539.254,400.62,0.0601,137.057,104.18,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,3519.4,3235.59,18.8473,256.995,24.7127,0.0005,4901,1630,1630,184649,707163
sponza_palace.glb,1990.44,1634.54,1.4997,353.034,137.05,0.0007,211,103,103,192489,786798
porsche_911_gt3.glb,266.261,199.082,1.3943,62.9936,17.9743,0.0003,4901,1630,1630,184649,707163
sponza_palace.glb,500.629,383.4,0.0526,116.09,90.2945,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,307.588,237.751,1.4444,66.2234,18.5231,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,526.744,408.453,0.0563,116.956,90.194,0.0002,211,103,103,192489,786798
gundam_unicorn.glb,189.584,137.42,0.0358,51.0288,26.4457,0.0002,98,95,95,218194,1131972
porsche_911_gt3.glb,251.131,189.944,1.1962,58.2516,16.752,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,530.901,401.717,0.0748,127.503,96.0701,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,247.967,187.714,1.3225,56.6968,17.6322,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,484.197,372.983,0.0642,109.825,84.082,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,287.596,217.857,1.5618,65.781,19.4261,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,520.169,408.772,0.0755,110.237,85.5266,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,263.174,200.92,1.4979,59.0738,18.2093,0.0061,4901,1630,1630,184649,707163
sponza_palace.glb,506.647,388.84,0.0732,116.29,90.3063,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,248.425,188.463,1.7702,56.1699,16.537,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,530.877,408.098,0.0724,121.387,92.2618,0.0004,211,103,103,192489,786798
porsche_911_gt3.glb,2917.59,2653.91,21.4991,231.845,28.4084,0.0009,4901,1630,1630,184649,707163
porsche_911_gt3.glb,223.374,171.729,1.2735,48.7483,15.0164,0.007,4901,1630,1630,184649,707163
sponza_palace.glb,662.361,533.968,0.055,126.78,100.291,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,2745.78,2516.71,17.0467,204.365,24.0712,0.001,4901,1630,1630,184649,707163
sponza_palace.glb,1379.52,1131.77,0.6634,245.068,112.432,0.0004,211,103,103,192489,786798
porsche_911_gt3.glb,2785.48,2568.23,14.9296,192.894,22.1475,0.0007,4901,1630,1630,184649,707163
porsche_911_gt3.glb,275.627,213.684,1.5064,58.4238,17.7571,0.0048,4901,1630,1630,184649,707163
sponza_palace.glb,565.783,442.565,0.251,121.556,94.104,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,2637.47,2400.1,17.4928,210.757,23.5357,0.0005,4901,1630,1630,184649,707163
porsche_911_gt3.glb,309.554,239.133,1.7207,66.2685,19.4267,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,530.036,400.475,0.0768,127.946,101.814,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,2554.8,2344.19,12.8644,192.402,20.7153,0.0005,4901,1630,1630,184649,707163
porsche_911_gt3.glb,238.656,177.889,1.0648,58.0054,17.8707,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,512.74,387.641,0.0508,123.077,92.9256,0.0005,211,103,103,192489,786798
porsche_911_gt3.glb,2573.59,2346.18,16.2562,200.912,21.6922,0.0004,4901,1630,1630,184649,707163
porsche_911_gt3.glb,296.771,231.049,1.0118,62.122,19.056,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,537.685,418.667,0.0658,117.611,90.4051,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,2565.52,2341.47,15.1728,198.565,22.9629,0.0004,4901,1630,1630,184649,707163
porsche_911_gt3.glb,274.428,201.265,1.4044,69.9467,21.6001,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,500.924,388.463,0.0532,111.313,84.94,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,248.376,188.586,1.195,56.7393,15.5795,0.0005,4901,1630,1630,184649,707163
sponza_palace.glb,493.677,377.33,0.0555,114.893,88.1492,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,2551.3,2333.65,15.836,191.463,21.3243,0.0005,4901,1630,1630,184649,707163
porsche_911_gt3.glb,251.498,188.193,1.1918,59.2626,17.0708,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,490.43,378.39,0.0529,110.771,84.6893,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,237.633,184.649,1.1615,49.7384,14.3756,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,506.255,385.726,0.0618,119.176,91.3313,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,2633.48,2376.34,17.0152,227.194,28.0978,0.0008,4901,1630,1630,184649,707163
porsche_911_gt3.glb,332.244,261.653,1.0886,66.6146,17.3071,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,547.326,425.691,0.0666,119.964,93.9758,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,2588.97,2361.12,14.741,207.13,22.078,0.0005,4901,1630,1630,184649,707163
porsche_911_gt3.glb,270.027,200.691,1.365,65.2709,18.2751,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,516.181,399.692,0.0694,115.069,88.072,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,2521.42,2300.38,14.3908,201.488,21.356,0.0004,4901,1630,1630,184649,707163
porsche_911_gt3.glb,242.246,189.413,1.2298,49.7538,14.7866,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,544.387,417.219,0.0661,125.805,96.0767,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,2486.82,2271.62,15.0325,189.982,22.201,0.0004,4901,1630,1630,184649,707163
porsche_911_gt3.glb,230.694,173.828,1.3818,53.7817,14.9997,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,491.279,375.476,0.056,114.704,89.8715,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,238.662,186.128,1.0752,49.6651,14.6481,0.0002,4901,1630,1630,184649,707163
